Line style is unicode.
Border style is 2.
Null display is "[NULL]".
evidenciaid,tareaid,tareatitulo,nombrearchivo,rutacompleta,comentario,fechacreacion,horacreacion,fechahoracreacion,fechahoraactualizacion,creadopor,tienearchivo,tienecomentario
18,146,Crear estructura documental y roles NEUSI,evidencias/WhatsApp_Image_2025-10-27_at_8.33.14_PM.jpeg,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/WhatsApp_Image_2025-10-27_at_8.33.14_PM.jpeg,"se realiza formulario donde especifica roles, responsabilidades y demas datos requeridos por gerencia",2025-10-28,01:34:00,2025-10-28 01:34:00,2025-10-28 01:34:00,diana,1,1
13,151,Auditoría de identidad visual actual de NEUSI,evidencias/Auditoría_de_identidad_visual_actual_de_NEUSI.pdf,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/Auditoría_de_identidad_visual_actual_de_NEUSI.pdf,"",2025-10-27,05:29:38,2025-10-27 05:29:38,2025-10-27 05:29:38,daniela,1,0
15,153,Rediseñar logo NEUSI Solutions,"",,"Realicé un cambio en la tipografía principal del logo, sin embargo, encuentro un impedimento en realizar mayores cambios al logo ya propuesto, teniendo en cuenta que para lograrlo se requiere licencia de un programa como Illustrator.",2025-10-27,16:47:37,2025-10-27 16:47:37,2025-10-27 16:47:37,daniela,0,1
16,153,Rediseñar logo NEUSI Solutions,evidencias/LOGOS_CON_TIPOGRAFÍA_INSTITUCIONAL_MODIFICADA.zip,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/LOGOS_CON_TIPOGRAFÍA_INSTITUCIONAL_MODIFICADA.zip,"",2025-10-27,16:48:03,2025-10-27 16:48:03,2025-10-27 16:48:03,daniela,1,0
17,154,Crear guía básica de uso de marca NEUSI,evidencias/BrandKit_NEUSI.png,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/BrandKit_NEUSI.png,Repositorio de Canva: https://www.canva.com/brand/kAGhWeZQu2I,2025-10-27,16:56:22,2025-10-27 16:56:22,2025-10-27 16:56:22,daniela,1,1
14,160,Definición del embudo de ventas NEUSI,evidencias/Leads_Gestion_Completa_NEUSI_6CC9z6D.xlsx,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/Leads_Gestion_Completa_NEUSI_6CC9z6D.xlsx,"Se hizo un embudo inicial de una base de datos de 90 organizaciones, priorizando 15, de las cuales ya se hizo un proceso de actualizacion de estado.",2025-10-27,14:02:10,2025-10-27 14:02:10,2025-10-27 14:02:10,andres_gomez,1,1
8,161,Creación de la base de leads calificados,evidencias/Leads_Gestion_Completa_NEUSI.xlsx,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/Leads_Gestion_Completa_NEUSI.xlsx,Adjunto listado inicial de los 1ros 15 leads,2025-10-23,15:11:16,2025-10-23 15:11:16,2025-10-23 15:11:16,andres_gomez,1,1
5,163,Diseño inicial de materiales institucionales,"",,"Se adjuntan documentos borrador para cierre de la tarea, se adjunta pitch comercial, Brochure Institucional",2025-10-23,15:09:59,2025-10-23 15:09:59,2025-10-23 15:09:59,andres_gomez,0,1
6,163,Diseño inicial de materiales institucionales,"",,"Se adjuntan documentos borrador para cierre de la tarea, se adjunta pitch comercial, Brochure Institucional",2025-10-23,15:10:00,2025-10-23 15:10:00,2025-10-23 15:10:00,andres_gomez,0,1
7,163,Diseño inicial de materiales institucionales,evidencias/PORTAFOLIO_NEUSI_1.pdf,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/PORTAFOLIO_NEUSI_1.pdf,"Se adjuntan documentos borrador para cierre de la tarea, se adjunta pitch comercial, Brochure Institucional",2025-10-23,15:10:03,2025-10-23 15:10:03,2025-10-23 15:10:03,andres_gomez,1,1
4,165,Configurar entorno PostgreSQL y archivo .env,evidencias/Configurar_entorno_PostgreSQL_y_archivo.pdf,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/Configurar_entorno_PostgreSQL_y_archivo.pdf,Completado,2025-10-23,00:49:14,2025-10-23 00:49:14,2025-10-23 00:49:14,jorge_cardona,1,1
9,167,Implementar roles de usuario,evidencias/Implementar_Roles_de_Usuario.pdf,/home/desarrollo/NeuralWasi/NeusiDevops/media/evidencias/Implementar_Roles_de_Usuario.pdf,Adjunto Documento que registra el cumplimiento en Version 1 de Neusitask de manejo de Roles.,2025-10-24,17:57:49,2025-10-24 17:57:49,2025-10-24 17:57:49,jorge_cardona,1,1
