Line style is unicode.
Border style is 2.
Null display is "[NULL]".
tareaid,titulo,descripcion,estado,categoria,estacompletada,storypoints,fechacierre,horacierre,fechahoracierre,horacierrenum,diasemana,nombredia,turnocierre,usuarioasignado,rolasignado,epica,codigoepica,sprint,sprintid,informecierre,criteriosaceptacion,spcompletados,escompletado,enprogreso,porhacer,nuevo,aprobado
146,Crear estructura documental y roles NEUSI,"Como administradora, necesito crear la estructura documental y roles NEUSI para estandarizar la gestión. Incluye: Manual de Roles completo, organigrama actualizado y validación con Dirección.",NUEVO,UI,t,5,2025-10-28,01:34:18,2025-10-28 01:34:18,1,2,Tuesday  ,Madrugada,diana,Coordinadora de Gestión Humana y Administrativa,NEUADMIN: Gestión Humana y Administrativa,EPICA-004,Sprint 1,1,informes_cierre/WhatsApp_Image_2025-10-27_at_8.33.14_PM.jpeg,"• Manual de Roles y Políticas Internas completado
- Organigrama institucional actualizado con roles y responsabilidades
- Documento validado y aprobado por Dirección General (Daniel)
- Archivo PDF generado: ""Manual_Roles_NEUSI.pdf""",5,0,0,0,1,0
147,Levantar procesos administrativos actuales,"Como administradora, necesito documentar todos los procesos administrativos actuales para identificar oportunidades de mejora y automatización.",NUEVO,NUI,f,3,,,,,,,Madrugada,diana,Coordinadora de Gestión Humana y Administrativa,NEUADMIN: Gestión Humana y Administrativa,EPICA-004,Sprint 1,1,"","• Listado completo de procesos administrativos documentado
- Mapeo de flujos de trabajo actuales con diagramas
- Identificación de cuellos de botella y procesos manuales
- Documento de diagnóstico inicial entregado",0,0,0,0,1,0
148,Estandarizar estructura de carpetas digitales,"Como administradora, necesito estandarizar las carpetas digitales en Google Drive para organizar eficientemente toda la información administrativa y de talento humano.",NUEVO,NUI,f,2,,,,,,,Madrugada,diana,Coordinadora de Gestión Humana y Administrativa,NEUADMIN: Gestión Humana y Administrativa,EPICA-004,Sprint 1,1,"","• Estructura de carpetas definida y documentada
- Nomenclatura estandarizada aplicada
- Carpetas creadas en Google Drive con permisos configurados
- Guía de uso de la estructura documental compartida",0,0,0,0,1,0
149,Clasificar y migrar contratos y actas a KenDOCdata,"Como administradora, necesito clasificar todos los contratos y actas existentes y migrarlos al sistema KenDOCdata para centralizar la gestión documental. Trabajo conjunto con Laura (Contabilidad).",NUEVO,NUI,t,3,2025-10-28,13:39:20,2025-10-28 13:39:20,13,2,Tuesday  ,Tarde,diana,Coordinadora de Gestión Humana y Administrativa,NEUADMIN: Gestión Humana y Administrativa,EPICA-004,Sprint 1,1,informes_cierre/Documentacion_contratacion.zip,"• Todos los contratos clasificados por tipo y fecha
- Actas organizadas cronológicamente
- Documentos digitalizados y subidos a KenDOCdata
- Índice de documentos migrados entregado
- Validación con Laura Rivera completada",3,0,0,0,1,0
150,Revisar y validar documentación administrativa existente,"Como directora de NEUSI, necesito revisar toda la documentación administrativa existente para validar el estado actual y definir prioridades de mejora.",NUEVO,NUI,f,2,,,,,,,Madrugada,daniel,Arquitecto de Software y Director General,NEUADMIN: Gestión Humana y Administrativa,EPICA-004,Sprint 1,1,"","• Inventario completo de documentación administrativa realizado
- Reporte de gaps y documentos faltantes identificado
- Priorización de documentos pendientes definida
- Sesión de validación con Diana completada",0,0,0,0,1,0
151,Auditoría de identidad visual actual de NEUSI,"Como diseñadora de marca, necesito realizar una auditoría completa de la identidad visual actual de NEUSI para identificar oportunidades de mejora y modernización.",NUEVO,UI,t,2,2025-10-27,05:30:30,2025-10-27 05:30:30,5,1,Monday   ,Madrugada,daniela,Scrum Master / PO,NEUVIBE: Comunicación y Marca,EPICA-005,Sprint 1,1,informes_cierre/Auditoría_de_identidad_visual_actual_de_NEUSI.pdf,"• Documento de auditoría visual completado
- Análisis de logo, colores, tipografía y materiales actuales
- Benchmark con 3 empresas referentes del sector
- Informe de hallazgos y recomendaciones entregado",2,0,0,0,1,0
152,Definir paleta cromática y tipografía institucional,"Como diseñadora de marca, necesito definir la nueva paleta de colores y tipografía de NEUSI que reflejen innovación, tecnología y cercanía.",NUEVO,UI,t,3,2025-10-27,16:21:48,2025-10-27 16:21:48,16,1,Monday   ,Tarde,daniela,Scrum Master / PO,NEUVIBE: Comunicación y Marca,EPICA-005,Sprint 1,1,informes_cierre/PALETA_CROMÁTICA_Y_TIPOGRAFÍA_INSTITUCIONAL_NEUSI.pdf,"• Paleta cromática definida (colores primarios, secundarios y de apoyo)
- Tipografía principal y secundaria seleccionada
- Propuesta validada con Dirección General (Daniel)
- Documento de especificaciones técnicas de color y tipografía",3,0,0,0,1,0
153,Rediseñar logo NEUSI Solutions,"Como diseñadora de marca, necesito rediseñar el logo de NEUSI Solutions para modernizar la percepción institucional y alinearla con la visión 2025-2026.",NUEVO,UI,t,5,2025-10-28,03:04:42,2025-10-28 03:04:42,3,2,Tuesday  ,Madrugada,daniela,Scrum Master / PO,NEUVIBE: Comunicación y Marca,EPICA-005,Sprint 1,1,informes_cierre/LOGOS_CON_TIPOGRAFÍA_INSTITUCIONAL_MODIFICADA.zip,"• Mínimo 3 propuestas de rediseño de logo presentadas
- Logo final aprobado por Dirección General
- Versiones del logo: horizontal, vertical, isotipo, negativo
- Archivos en formatos: SVG, PNG, AI, PDF
- Manual de uso del logo (espacios, tamaños mínimos, usos incorrectos)",5,0,0,0,1,0
154,Crear guía básica de uso de marca NEUSI,"Como diseñadora institucional, necesito crear una guía de uso de marca que estandarice la aplicación de la identidad visual en todos los materiales.",NUEVO,UI,t,3,2025-10-28,13:44:03,2025-10-28 13:44:03,13,2,Tuesday  ,Tarde,daniela,Scrum Master / PO,NEUVIBE: Comunicación y Marca,EPICA-005,Sprint 1,1,informes_cierre/LINK_BRAND_KIT_CANVA_NEUSI_1.pdf,"• Guía de marca con logo, colores, tipografía y aplicaciones
- Ejemplos de uso correcto e incorrecto
- Plantilla básica de presentación corporativa
- Documento PDF ""Guia_Marca_NEUSI_v1.pdf"" entregado",3,0,0,0,1,0
155,Presentar Brand Kit NEUSI en Figma/Canva,"Como diseñadora de marca, necesito consolidar todos los elementos de identidad visual en un Brand Kit digital accesible para todo el equipo.",NUEVO,NUI,t,2,2025-10-27,02:41:01,2025-10-27 02:41:01,2,1,Monday   ,Madrugada,daniela,Scrum Master / PO,NEUVIBE: Comunicación y Marca,EPICA-005,Sprint 1,1,informes_cierre/EVIDENCIA_Reunión_Presentación_BrandKit_Neusi_.pdf,"• Brand Kit creado en Figma o Canva
- Incluye: logo, colores, tipografía, iconografía básica
- Enlace compartido con el equipo NEUSI
- Presentación del Brand Kit en reunión de equipo",2,0,0,0,1,0
